id,state,year,quarter,transaction_type,transaction_count,transaction_amount
1,India,2018,1,Recharge & bill payments,72550406,14472713558.652578
2,India,2018,1,Peer-to-peer payments,46982705,147245883542.77402
3,India,2018,1,Merchant payments,5368669,4656678915.140091
4,India,2018,1,Financial Services,3762820,815853105.1000277
5,India,2018,1,Others,5761576,4643217301.269438
6,India,2018,2,Recharge & bill payments,92033715,24351225616.36898
7,India,2018,2,Peer-to-peer payments,74558816,264767671095.31842
8,India,2018,2,Merchant payments,10613941,9052859939.339659
9,India,2018,2,Financial Services,5186569,1176991419.239996
10,India,2018,2,Others,4973199,5027454207.140578
11,India,2018,3,Peer-to-peer payments,202021587,425967421714.0399
12,India,2018,3,Recharge & bill payments,102290514,31364311860.394596
13,India,2018,3,Merchant payments,25175938,12433150984.830223
14,India,2018,3,Financial Services,6218596,891447809.4200314
15,India,2018,3,Others,5594554,4449556277.54975
16,India,2018,4,Peer-to-peer payments,200235002,594995709377.7327
17,India,2018,4,Recharge & bill payments,131917248,39578607327.024284
18,India,2018,4,Merchant payments,71498510,30497289208.339787
19,India,2018,4,Financial Services,5216165,868584631.5900131
20,India,2018,4,Others,8246415,5802659774.449921
21,India,2019,1,Peer-to-peer payments,404841331,887893108631.5128
22,India,2019,1,Recharge & bill payments,180504739,55473071028.87885
23,India,2019,1,Merchant payments,110496541,40575915112.522
24,India,2019,1,Financial Services,4627353,603852042.0000324
25,India,2019,1,Others,8526177,5484252454.8204155
26,India,2019,2,Peer-to-peer payments,384711008,1196425281586.9927
27,India,2019,2,Recharge & bill payments,209898072,76865848586.98372
28,India,2019,2,Merchant payments,206467182,73415840739.88434
29,India,2019,2,Financial Services,2650384,545329308.0899862
30,India,2019,2,Others,11656557,6969423863.830339
31,India,2019,3,Peer-to-peer payments,461911865,1440512511470.7004
32,India,2019,3,Merchant payments,376320628,123209398484.44376
33,India,2019,3,Recharge & bill payments,240103872,101520929811.06812
34,India,2019,3,Financial Services,2870292,617120839.9299941
35,India,2019,3,Others,13804992,6705143103.510092
36,India,2019,4,Peer-to-peer payments,703497002,1963952535223.0903
37,India,2019,4,Merchant payments,456578271,174239646473.03162
38,India,2019,4,Recharge & bill payments,285310032,116344996244.26738
39,India,2019,4,Financial Services,2476840,551204225.4200497
40,India,2019,4,Others,12583379,4811822509.649999
41,India,2020,1,Peer-to-peer payments,693998661,2320557268853.593
42,India,2020,1,Merchant payments,566355270,231298042209.83606
43,India,2020,1,Recharge & bill payments,351300991,140373550367.1558
44,India,2020,1,Financial Services,1358171,773848137.0300016
45,India,2020,1,Others,10027019,4116905195.8207293
46,India,2020,2,Peer-to-peer payments,631031364,2243915932390.771
47,India,2020,2,Recharge & bill payments,448842692,171590686463.15784
48,India,2020,2,Merchant payments,363275861,226908226049.51398
49,India,2020,2,Financial Services,1682062,1751767444.1000087
50,India,2020,2,Others,3779461,1987466180.2098684
51,India,2020,3,Peer-to-peer payments,916790263,3287051873253.504
52,India,2020,3,Merchant payments,672019839,405291207894.2984
53,India,2020,3,Recharge & bill payments,436172619,204262355709.72183
54,India,2020,3,Financial Services,2531978,2673063432.9600067
55,India,2020,3,Others,5541374,2789907563.6502213
56,India,2020,4,Peer-to-peer payments,1249512647,4474548495095.518
57,India,2020,4,Merchant payments,1127490136,684873639322.252
58,India,2020,4,Recharge & bill payments,479784084,227875840842.1121
59,India,2020,4,Financial Services,2942567,3259168195.749941
60,India,2020,4,Others,9556404,5323095366.309718
61,India,2021,1,Merchant payments,1467948823,844466633896.8679
62,India,2021,1,Peer-to-peer payments,1447600942,5170856441552.582
63,India,2021,1,Recharge & bill payments,530118545,260182440730.4327
64,India,2021,1,Financial Services,3075296,3573884778.5300817
65,India,2021,1,Others,8851525,5199901891.8900385
66,India,2021,2,Peer-to-peer payments,1744272888,6163165772736.494
67,India,2021,2,Merchant payments,1499626469,1003530942287.5988
68,India,2021,2,Recharge & bill payments,685024821,300559461295.9022
69,India,2021,2,Financial Services,3397384,3651996523.4499955
70,India,2021,2,Others,9061732,5598131364.820071
71,India,2021,3,Merchant payments,2316924871,1426965558783.5557
72,India,2021,3,Peer-to-peer payments,2215575286,7429357587018.912
73,India,2021,3,Recharge & bill payments,714583744,349234592690.4992
